"","Model","InOutSample","Location","Denomination","fh","MAPE"
"120","ARIMA","Out Sample","Jakarta","K5000",19,109.984784396222
"121","ARIMA","Out Sample","Jakarta","K5000",20,105.170120512074
"122","ARIMA","Out Sample","Jakarta","K5000",21,104.170653901118
"123","ARIMA","Out Sample","Jakarta","K5000",22,148.508700997974
"124","ARIMA","Out Sample","Jakarta","K5000",23,194.643654817224
"125","ARIMA","Out Sample","Jakarta","K5000",24,211.906127441762
"126","ARIMA","In Sample","Jakarta","K2000",0,3228.47211906355
"127","ARIMA","Out Sample","Jakarta","K2000",1,2878.18642634474
"128","ARIMA","Out Sample","Jakarta","K2000",2,1944.1638165546
"129","ARIMA","Out Sample","Jakarta","K2000",3,1386.03218391523
"130","ARIMA","Out Sample","Jakarta","K2000",4,1101.71824068361
"131","ARIMA","Out Sample","Jakarta","K2000",5,893.597861475239
"132","ARIMA","Out Sample","Jakarta","K2000",6,748.383473301376
"133","ARIMA","Out Sample","Jakarta","K2000",7,643.551921654712
"134","ARIMA","Out Sample","Jakarta","K2000",8,570.500025525835
"135","ARIMA","Out Sample","Jakarta","K2000",9,511.753858523155
"136","ARIMA","Out Sample","Jakarta","K2000",10,464.843980765044
"137","ARIMA","Out Sample","Jakarta","K2000",11,426.26697705774
"138","ARIMA","Out Sample","Jakarta","K2000",12,391.521541945409
"139","ARIMA","Out Sample","Jakarta","K2000",13,820.093207578167
"140","ARIMA","Out Sample","Jakarta","K2000",14,817.467233956941
"141","ARIMA","Out Sample","Jakarta","K2000",15,840.541359493472
"142","ARIMA","Out Sample","Jakarta","K2000",16,850.453241664746
"143","ARIMA","Out Sample","Jakarta","K2000",17,820.830648688313
"144","ARIMA","Out Sample","Jakarta","K2000",18,776.58935752662
"145","ARIMA","Out Sample","Jakarta","K2000",19,743.786198623711
"146","ARIMA","Out Sample","Jakarta","K2000",20,708.969271269847
"147","ARIMA","Out Sample","Jakarta","K2000",21,680.511151846727
"148","ARIMA","Out Sample","Jakarta","K2000",22,650.026099137447
"149","ARIMA","Out Sample","Jakarta","K2000",23,624.873284259862
"150","ARIMA","Out Sample","Jakarta","K2000",24,607.045018003289
"151","ARIMA","In Sample","Jakarta","K1000",0,115026.759079501
"152","ARIMA","Out Sample","Jakarta","K1000",1,30.2988040562239
"153","ARIMA","Out Sample","Jakarta","K1000",2,25.3519737769994
"154","ARIMA","Out Sample","Jakarta","K1000",3,995.229095312161
"155","ARIMA","Out Sample","Jakarta","K1000",4,7226.40904504433
"156","ARIMA","Out Sample","Jakarta","K1000",5,19794.4494803306
"157","ARIMA","Out Sample","Jakarta","K1000",6,18349.6739646294
"158","ARIMA","Out Sample","Jakarta","K1000",7,19599.6423266648
"159","ARIMA","Out Sample","Jakarta","K1000",8,21498.468260126
"160","ARIMA","Out Sample","Jakarta","K1000",9,19110.7068119939
"161","ARIMA","Out Sample","Jakarta","K1000",10,17206.2412609819
"162","ARIMA","Out Sample","Jakarta","K1000",11,15643.6626144877
"163","ARIMA","Out Sample","Jakarta","K1000",12,14345.5896693925
"164","ARIMA","Out Sample","Jakarta","K1000",13,13247.1051992486
"165","ARIMA","Out Sample","Jakarta","K1000",14,12306.2767258685
"166","ARIMA","Out Sample","Jakarta","K1000",15,11486.070769623
"167","ARIMA","Out Sample","Jakarta","K1000",16,10834.2096266359
"168","ARIMA","Out Sample","Jakarta","K1000",17,10367.3211970681
"169","ARIMA","Out Sample","Jakarta","K1000",18,10644.2792513632
"170","ARIMA","Out Sample","Jakarta","K1000",19,33062.6794352639
"171","ARIMA","Out Sample","Jakarta","K1000",20,37110.8713442499
"172","ARIMA","Out Sample","Jakarta","K1000",21,36622.1494467927
"173","ARIMA","Out Sample","Jakarta","K1000",22,51602.3464018379
"174","ARIMA","Out Sample","Jakarta","K1000",23,50040.3036001698
"175","ARIMA","Out Sample","Jakarta","K1000",24,47964.2394794348
"176","ARIMA","In Sample","Surabaya","K100000",0,49.5885832976963
"177","ARIMA","Out Sample","Surabaya","K100000",1,23.7483462889287
"178","ARIMA","Out Sample","Surabaya","K100000",2,48.189640250117
"179","ARIMA","Out Sample","Surabaya","K100000",3,37.1104545856788
"180","ARIMA","Out Sample","Surabaya","K100000",4,45.4142119528093
"181","ARIMA","Out Sample","Surabaya","K100000",5,39.2328170176048
"182","ARIMA","Out Sample","Surabaya","K100000",6,41.7148153706232
"183","ARIMA","Out Sample","Surabaya","K100000",7,57.3921100087622
"184","ARIMA","Out Sample","Surabaya","K100000",8,53.7656125160928
"185","ARIMA","Out Sample","Surabaya","K100000",9,50.0540326142429
"186","ARIMA","Out Sample","Surabaya","K100000",10,52.294169154805
"187","ARIMA","Out Sample","Surabaya","K100000",11,57.6487572832057
"188","ARIMA","Out Sample","Surabaya","K100000",12,55.9902756512357
"189","ARIMA","Out Sample","Surabaya","K100000",13,69.3667446699818
"190","ARIMA","Out Sample","Surabaya","K100000",14,66.871630658219
"191","ARIMA","Out Sample","Surabaya","K100000",15,64.1385788430112
"192","ARIMA","Out Sample","Surabaya","K100000",16,62.9190452816727
"193","ARIMA","Out Sample","Surabaya","K100000",17,59.2530362316382
"194","ARIMA","Out Sample","Surabaya","K100000",18,67.8794738713775
"195","ARIMA","Out Sample","Surabaya","K100000",19,70.9550490333802
"196","ARIMA","Out Sample","Surabaya","K100000",20,72.1320837652993
"197","ARIMA","Out Sample","Surabaya","K100000",21,69.1992291361632
"198","ARIMA","Out Sample","Surabaya","K100000",22,69.6184531112091
"199","ARIMA","Out Sample","Surabaya","K100000",23,67.9968093175106
"200","ARIMA","Out Sample","Surabaya","K100000",24,66.8754141541015
"201","ARIMA","In Sample","Surabaya","K50000",0,42.5155883451547
"202","ARIMA","Out Sample","Surabaya","K50000",1,54.7345924928433
"203","ARIMA","Out Sample","Surabaya","K50000",2,52.3338092880905
"204","ARIMA","Out Sample","Surabaya","K50000",3,164.579990919956
"205","ARIMA","Out Sample","Surabaya","K50000",4,130.189176368431
"206","ARIMA","Out Sample","Surabaya","K50000",5,108.514632317006
"207","ARIMA","Out Sample","Surabaya","K50000",6,90.609850647462
"208","ARIMA","Out Sample","Surabaya","K50000",7,79.0171608980683
"209","ARIMA","Out Sample","Surabaya","K50000",8,72.6142324217622
"210","ARIMA","Out Sample","Surabaya","K50000",9,64.575231887979
"211","ARIMA","Out Sample","Surabaya","K50000",10,58.882690448369
