,Model,InOutSample,Location,Denomination,fh,MAPE
157,ARIMA,Out Sample,Jakarta,1000,6,18349.67396
158,ARIMA,Out Sample,Jakarta,1000,7,19599.64233
159,ARIMA,Out Sample,Jakarta,1000,8,21498.46826
160,ARIMA,Out Sample,Jakarta,1000,9,19110.70681
161,ARIMA,Out Sample,Jakarta,1000,10,17206.24126
162,ARIMA,Out Sample,Jakarta,1000,11,15643.66261
163,ARIMA,Out Sample,Jakarta,1000,12,14345.58967
164,ARIMA,Out Sample,Jakarta,1000,13,13247.1052
165,ARIMA,Out Sample,Jakarta,1000,14,12306.27673
166,ARIMA,Out Sample,Jakarta,1000,15,11486.07077
167,ARIMA,Out Sample,Jakarta,1000,16,10834.20963
168,ARIMA,Out Sample,Jakarta,1000,17,10367.3212
169,ARIMA,Out Sample,Jakarta,1000,18,10644.27925
170,ARIMA,Out Sample,Jakarta,1000,19,33062.67944
171,ARIMA,Out Sample,Jakarta,1000,20,37110.87134
172,ARIMA,Out Sample,Jakarta,1000,21,36622.14945
173,ARIMA,Out Sample,Jakarta,1000,22,51602.3464
174,ARIMA,Out Sample,Jakarta,1000,23,50040.3036
175,ARIMA,Out Sample,Jakarta,1000,24,47964.23948
176,ARIMA,In Sample,Jakarta,1000,0,3864.826571
177,ARIMA,Out Sample,Jakarta,1000,1,22.10384656
178,ARIMA,Out Sample,Jakarta,1000,2,11.25453321
179,ARIMA,Out Sample,Jakarta,1000,3,7.911410196
180,ARIMA,Out Sample,Jakarta,1000,4,9.748523068
181,ARIMA,Out Sample,Jakarta,1000,5,8.988903278
182,ARIMA,Out Sample,Jakarta,1000,6,30.87913485
183,ARIMA,Out Sample,Jakarta,1000,7,28.54326501
184,ARIMA,Out Sample,Jakarta,1000,8,31.24319775
185,ARIMA,Out Sample,Jakarta,1000,9,29.81042237
186,ARIMA,Out Sample,Jakarta,1000,10,33.22059167
187,ARIMA,Out Sample,Jakarta,1000,11,47.48352886
188,ARIMA,Out Sample,Jakarta,1000,12,99.83915742
189,ARIMA,Out Sample,Jakarta,1000,13,289.1059559
190,ARIMA,Out Sample,Jakarta,1000,14,61159.28267
191,ARIMA,Out Sample,Jakarta,1000,15,57114.91135
192,ARIMA,Out Sample,Jakarta,1000,16,53546.80057
193,ARIMA,Out Sample,Jakarta,1000,17,50399.22501
194,ARIMA,Out Sample,Jakarta,1000,18,47600.34442
195,ARIMA,Out Sample,Jakarta,1000,19,45095.4097
196,ARIMA,Out Sample,Jakarta,1000,20,42840.78884
197,ARIMA,Out Sample,Jakarta,1000,21,40802.34661
198,ARIMA,Out Sample,Jakarta,1000,22,38951.54749
199,ARIMA,Out Sample,Jakarta,1000,23,37259.74788
200,ARIMA,Out Sample,Jakarta,1000,24,35707.59258
201,ARIMA,In Sample,Jakarta,500,0,40.93171794
202,ARIMA,Out Sample,Jakarta,500,1,14.32004725
203,ARIMA,Out Sample,Jakarta,500,2,16.62825692
204,ARIMA,Out Sample,Jakarta,500,3,12.72603263
205,ARIMA,Out Sample,Jakarta,500,4,10.25476125
206,ARIMA,Out Sample,Jakarta,500,5,11.81673801
207,ARIMA,Out Sample,Jakarta,500,6,16.73402133
208,ARIMA,Out Sample,Jakarta,500,7,18.63276919
209,ARIMA,Out Sample,Jakarta,500,8,18.99776414
210,ARIMA,Out Sample,Jakarta,500,9,18.70820891
211,ARIMA,Out Sample,Jakarta,500,10,19.85538846
212,ARIMA,Out Sample,Jakarta,500,11,18.41675925
213,ARIMA,Out Sample,Jakarta,500,12,22.04736306
214,ARIMA,Out Sample,Jakarta,500,13,25.24135867
215,ARIMA,Out Sample,Jakarta,500,14,24.49783468
216,ARIMA,Out Sample,Jakarta,500,15,24.22937215
217,ARIMA,Out Sample,Jakarta,500,16,23.66724495
218,ARIMA,Out Sample,Jakarta,500,17,23.69760376
219,ARIMA,Out Sample,Jakarta,500,18,22.99716158
220,ARIMA,Out Sample,Jakarta,500,19,23.45723477
221,ARIMA,Out Sample,Jakarta,500,20,23.54968854
222,ARIMA,Out Sample,Jakarta,500,21,24.59013723
223,ARIMA,Out Sample,Jakarta,500,22,24.24486498
224,ARIMA,Out Sample,Jakarta,500,23,23.64891865
225,ARIMA,Out Sample,Jakarta,500,24,22.68263515
226,ARIMA,In Sample,Jakarta,200,0,68.38817387
227,ARIMA,Out Sample,Jakarta,200,1,13.26830816
228,ARIMA,Out Sample,Jakarta,200,2,21.52260005
229,ARIMA,Out Sample,Jakarta,200,3,23.46620258
230,ARIMA,Out Sample,Jakarta,200,4,21.47119002
231,ARIMA,Out Sample,Jakarta,200,5,19.03790669
232,ARIMA,Out Sample,Jakarta,200,6,17.79567866
233,ARIMA,Out Sample,Jakarta,200,7,18.0947002
234,ARIMA,Out Sample,Jakarta,200,8,19.24165683
235,ARIMA,Out Sample,Jakarta,200,9,17.60188098
236,ARIMA,Out Sample,Jakarta,200,10,19.25174102
237,ARIMA,Out Sample,Jakarta,200,11,18.04269388
238,ARIMA,Out Sample,Jakarta,200,12,17.17961735
239,ARIMA,Out Sample,Jakarta,200,13,16.00012917
240,ARIMA,Out Sample,Jakarta,200,14,15.29328659
241,ARIMA,Out Sample,Jakarta,200,15,15.22597139
242,ARIMA,Out Sample,Jakarta,200,16,15.34580163
243,ARIMA,Out Sample,Jakarta,200,17,15.14412554
244,ARIMA,Out Sample,Jakarta,200,18,14.62835922
245,ARIMA,Out Sample,Jakarta,200,19,16.04872685
246,ARIMA,Out Sample,Jakarta,200,20,16.67871564
247,ARIMA,Out Sample,Jakarta,200,21,407.2218815
248,ARIMA,Out Sample,Jakarta,200,22,390.4738286
249,ARIMA,Out Sample,Jakarta,200,23,373.8003949
250,ARIMA,Out Sample,Jakarta,200,24,360.4523905
251,ARIMA,In Sample,Jakarta,100,0,437.6369201
252,ARIMA,Out Sample,Jakarta,100,1,7.205115379
253,ARIMA,Out Sample,Jakarta,100,2,3.87341872
254,ARIMA,Out Sample,Jakarta,100,3,4.028622696
255,ARIMA,Out Sample,Jakarta,100,4,4.511572827
256,ARIMA,Out Sample,Jakarta,100,5,11.40125677
257,ARIMA,Out Sample,Jakarta,100,6,39.80450028
258,ARIMA,Out Sample,Jakarta,100,7,38.1406846
259,ARIMA,Out Sample,Jakarta,100,8,36.08921107
260,ARIMA,Out Sample,Jakarta,100,9,32.48683778
261,ARIMA,Out Sample,Jakarta,100,10,43.40682945
262,ARIMA,Out Sample,Jakarta,100,11,39.64770741
263,ARIMA,Out Sample,Jakarta,100,12,37.54075481
264,ARIMA,Out Sample,Jakarta,100,13,34.66049154
265,ARIMA,Out Sample,Jakarta,100,14,32.58094421
266,ARIMA,Out Sample,Jakarta,100,15,31.96790998
267,ARIMA,Out Sample,Jakarta,100,16,30.95741308
268,ARIMA,Out Sample,Jakarta,100,17,30.66264881
269,ARIMA,Out Sample,Jakarta,100,18,29.22129943
270,ARIMA,Out Sample,Jakarta,100,19,28.17077244
271,ARIMA,Out Sample,Jakarta,100,20,28.28404511
272,ARIMA,Out Sample,Jakarta,100,21,28.55678534
273,ARIMA,Out Sample,Jakarta,100,22,36.72628295
274,ARIMA,Out Sample,Jakarta,100,23,85.78350067
275,ARIMA,Out Sample,Jakarta,100,24,87.44928533
276,ARIMA,In Sample,Jakarta,50,0,288.3456296
277,ARIMA,Out Sample,Jakarta,50,1,23.96109278
278,ARIMA,Out Sample,Jakarta,50,2,63.73024046
279,ARIMA,Out Sample,Jakarta,50,3,44.68474163
280,ARIMA,Out Sample,Jakarta,50,4,35.65142786
281,ARIMA,Out Sample,Jakarta,50,5,36.02698962
282,ARIMA,Out Sample,Jakarta,50,6,45.52052411
283,ARIMA,Out Sample,Jakarta,50,7,52.59599533
284,ARIMA,Out Sample,Jakarta,50,8,49.67567796
285,ARIMA,Out Sample,Jakarta,50,9,48.9504813
286,ARIMA,Out Sample,Jakarta,50,10,63.24675913
287,ARIMA,Out Sample,Jakarta,50,11,142.0864225
288,ARIMA,Out Sample,Jakarta,50,12,213.9483397
289,ARIMA,Out Sample,Jakarta,50,13,274.3068918
290,ARIMA,Out Sample,Jakarta,50,14,326.0427936
291,ARIMA,Out Sample,Jakarta,50,15,370.8805751
292,ARIMA,Out Sample,Jakarta,50,16,478.7767287
293,ARIMA,Out Sample,Jakarta,50,17,452.187472
294,ARIMA,Out Sample,Jakarta,50,18,427.7387924
295,ARIMA,Out Sample,Jakarta,50,19,407.672607
296,ARIMA,Out Sample,Jakarta,50,20,387.5204505
297,ARIMA,Out Sample,Jakarta,50,21,372.4339408
298,ARIMA,Out Sample,Jakarta,50,22,370.9343892
299,ARIMA,Out Sample,Jakarta,50,23,366.380858
300,ARIMA,Out Sample,Jakarta,50,24,353.0487095
301,ARIMAX,In Sample,Jakarta,100000,0,48.24561432
302,ARIMAX,Out Sample,Jakarta,100000,1,0.979299381
303,ARIMAX,Out Sample,Jakarta,100000,2,4.022845818
304,ARIMAX,Out Sample,Jakarta,100000,3,3.590906489
305,ARIMAX,Out Sample,Jakarta,100000,4,4.830038303
306,ARIMAX,Out Sample,Jakarta,100000,5,8.67057763
307,ARIMAX,Out Sample,Jakarta,100000,6,11.17205637
308,ARIMAX,Out Sample,Jakarta,100000,7,10.69865726
309,ARIMAX,Out Sample,Jakarta,100000,8,10.39044278
310,ARIMAX,Out Sample,Jakarta,100000,9,10.3877068
311,ARIMAX,Out Sample,Jakarta,100000,10,11.34276765
312,ARIMAX,Out Sample,Jakarta,100000,11,16.15782633
313,ARIMAX,Out Sample,Jakarta,100000,12,36.34229595
314,ARIMAX,Out Sample,Jakarta,100000,13,36.59339819
315,ARIMAX,Out Sample,Jakarta,100000,14,36.1208897
316,ARIMAX,Out Sample,Jakarta,100000,15,34.85117004
317,ARIMAX,Out Sample,Jakarta,100000,16,33.9519487
318,ARIMAX,Out Sample,Jakarta,100000,17,32.84888725
319,ARIMAX,Out Sample,Jakarta,100000,18,32.50477793
320,ARIMAX,Out Sample,Jakarta,100000,19,33.84387476
321,ARIMAX,Out Sample,Jakarta,100000,20,33.54010571
322,ARIMAX,Out Sample,Jakarta,100000,21,32.6539564
323,ARIMAX,Out Sample,Jakarta,100000,22,31.66933976
324,ARIMAX,Out Sample,Jakarta,100000,23,32.7406096
325,ARIMAX,Out Sample,Jakarta,100000,24,37.13210268
326,ARIMAX,In Sample,Jakarta,50000,0,60.75397198
327,ARIMAX,Out Sample,Jakarta,50000,1,3.377034382
328,ARIMAX,Out Sample,Jakarta,50000,2,15.97738556
329,ARIMAX,Out Sample,Jakarta,50000,3,53.66468155
330,ARIMAX,Out Sample,Jakarta,50000,4,42.88654837
331,ARIMAX,Out Sample,Jakarta,50000,5,38.53988998
332,ARIMAX,Out Sample,Jakarta,50000,6,34.88689909
333,ARIMAX,Out Sample,Jakarta,50000,7,33.51920053
334,ARIMAX,Out Sample,Jakarta,50000,8,33.06823046
335,ARIMAX,Out Sample,Jakarta,50000,9,30.44975612
336,ARIMAX,Out Sample,Jakarta,50000,10,27.90352254
337,ARIMAX,Out Sample,Jakarta,50000,11,28.21066375
338,ARIMAX,Out Sample,Jakarta,50000,12,27.10827791
339,ARIMAX,Out Sample,Jakarta,50000,13,26.54564786
340,ARIMAX,Out Sample,Jakarta,50000,14,27.80848165
341,ARIMAX,Out Sample,Jakarta,50000,15,28.50323639
342,ARIMAX,Out Sample,Jakarta,50000,16,27.07313203
343,ARIMAX,Out Sample,Jakarta,50000,17,26.67435936
344,ARIMAX,Out Sample,Jakarta,50000,18,25.80256875
345,ARIMAX,Out Sample,Jakarta,50000,19,26.71943803
346,ARIMAX,Out Sample,Jakarta,50000,20,26.0878612
347,ARIMAX,Out Sample,Jakarta,50000,21,24.97218096
348,ARIMAX,Out Sample,Jakarta,50000,22,24.29339004
349,ARIMAX,Out Sample,Jakarta,50000,23,24.01300753
350,ARIMAX,Out Sample,Jakarta,50000,24,24.04548486
351,ARIMAX,In Sample,Jakarta,20000,0,94.40193684
352,ARIMAX,Out Sample,Jakarta,20000,1,48.00332771
353,ARIMAX,Out Sample,Jakarta,20000,2,24.33605298
354,ARIMAX,Out Sample,Jakarta,20000,3,2499.005451
355,ARIMAX,Out Sample,Jakarta,20000,4,2068.526975
356,ARIMAX,Out Sample,Jakarta,20000,5,1678.492591
357,ARIMAX,Out Sample,Jakarta,20000,6,1416.659498
358,ARIMAX,Out Sample,Jakarta,20000,7,1215.340151
359,ARIMAX,Out Sample,Jakarta,20000,8,1081.03132
360,ARIMAX,Out Sample,Jakarta,20000,9,964.912834
361,ARIMAX,Out Sample,Jakarta,20000,10,875.3632597
362,ARIMAX,Out Sample,Jakarta,20000,11,798.0747112
363,ARIMAX,Out Sample,Jakarta,20000,12,735.6204523
364,ARIMAX,Out Sample,Jakarta,20000,13,684.4327881
365,ARIMAX,Out Sample,Jakarta,20000,14,636.4247708
366,ARIMAX,Out Sample,Jakarta,20000,15,961.5713705
367,ARIMAX,Out Sample,Jakarta,20000,16,988.9302511
368,ARIMAX,Out Sample,Jakarta,20000,17,942.5362063
