"","Model","InOutSample","Location","Denomination","fh","MAPE","RMSE","linearmodel","nonlinearmodel","preprocessing","ID","DateExecuted"
"56","ARIMA-Individual","Out Sample","Jakarta","K100000",5,8.70292222214111,1375502.56055225,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"57","ARIMA-Individual","Out Sample","Jakarta","K100000",6,11.0085241886581,1296711.00623488,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"58","ARIMA-Individual","Out Sample","Jakarta","K100000",7,10.5687726067507,1209708.49853022,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"59","ARIMA-Individual","Out Sample","Jakarta","K100000",8,10.3496788567754,1144761.9828289,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"60","ARIMA-Individual","Out Sample","Jakarta","K100000",9,10.5182565923879,1113661.71955383,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"61","ARIMA-Individual","Out Sample","Jakarta","K100000",10,11.4034792719177,1161144.39524013,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"62","ARIMA-Individual","Out Sample","Jakarta","K100000",11,16.1774382335588,3960356.67575771,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"63","ARIMA-Individual","Out Sample","Jakarta","K100000",12,35.8628460043779,4523414.95031661,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"64","ARIMA-Individual","Out Sample","Jakarta","K100000",13,36.0808395837409,4366713.4008818,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"65","ARIMA-Individual","Out Sample","Jakarta","K100000",14,35.5868049201325,4269566.98818329,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"66","ARIMA-Individual","Out Sample","Jakarta","K100000",15,34.5211770172446,4137363.27631348,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"67","ARIMA-Individual","Out Sample","Jakarta","K100000",16,33.5659635142532,4027221.11492519,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"68","ARIMA-Individual","Out Sample","Jakarta","K100000",17,32.3147175780794,3920273.42196681,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"69","ARIMA-Individual","Out Sample","Jakarta","K100000",18,31.9723857839037,3818907.94672619,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"70","ARIMA-Individual","Out Sample","Jakarta","K100000",19,33.3902489072537,3753110.26527748,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"71","ARIMA-Individual","Out Sample","Jakarta","K100000",20,33.0671764602422,3697957.51468098,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"72","ARIMA-Individual","Out Sample","Jakarta","K100000",21,32.3274218640731,3617628.03323243,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"73","ARIMA-Individual","Out Sample","Jakarta","K100000",22,31.3020008299784,3537907.57038992,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"74","ARIMA-Individual","Out Sample","Jakarta","K100000",23,32.6670493890972,4304014.08251883,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"75","ARIMA-Individual","Out Sample","Jakarta","K100000",24,38.0923732462407,4420911.58713889,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"76","ARIMAX-Individual","In Sample","Jakarta","K100000",0,48.2456143239854,1504674.35875841,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"77","ARIMAX-Individual","Out Sample","Jakarta","K100000",1,0.979299379711453,44881.5902377861,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
"78","ARIMAX-Individual","Out Sample","Jakarta","K100000",2,4.02284581748263,282513.401688932,"Regression with ARIMA(0,1,2)(1,0,0)[12] errors","","","9ecfd3fd826e536dc756550eeea12b30",2020-10-21 13:52:47
