Model,InOutSample,Location,Denomination,fh,MAPE,RMSE,linearmodel,nonlinearmodel,preprocessing,ID,DateExecuted,weightingMethod,weightingModel1,weightingModel2
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,12,1127.2785887583143,197638.78626014196,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,13,1044.2636113377955,222979.6888139436,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,14,970.6435433206341,215264.87187277482,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,15,1163.6743106770093,212457.97802427682,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,16,1139.2285560215728,207767.05020470367,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,17,1100.1447586289883,221299.1123974724,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,18,1052.8074066459783,229254.39589035232,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,19,1000.1338217940504,225440.6858393036,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,20,953.5047628108133,223815.58759979738,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,21,908.3975986132082,218440.73461615905,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,22,870.5254638826734,214770.8893155692,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,23,834.8650970770236,211129.1586195742,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,24,801.5901947090958,225257.665813655,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,In Sample,Jakarta,K2000,0,26.25156473844168,10914.024149703291,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",10,Box-Cox lambda 1,2d02f6edc745f6d0a78c4ec24786643e,2020-10-24T14:14:56Z,,,
