Flow,Model,Location,Denomination,linearmodel,Lags
Outflow,ARIMAX-Individual,Surabaya,K1000,"Regression with ARIMA(3,0,1)(1,0,0)[12] errors",1 2 3 12 13 14 15
Outflow,ARIMA-Individual,Tasikmalaya,K100000,"ARIMA(0,1,2)(0,1,2)[12]",1 12 13
Outflow,ARIMAX-Individual,Tasikmalaya,K100000,"Regression with ARIMA(3,0,0)(1,0,1)[12] errors",1 2 3 12 13 14 15
Outflow,ARIMA-Individual,Tasikmalaya,K50000,"ARIMA(0,1,2)(0,1,1)[12]",1 12 13
Outflow,ARIMAX-Individual,Tasikmalaya,K50000,"Regression with ARIMA(2,0,1)(2,0,0)[12] errors",1 2 12 13 14 24 25 26
Outflow,ARIMA-Individual,Tasikmalaya,K20000,"ARIMA(0,1,1)(0,1,1)[12]",1 12 13
Outflow,ARIMAX-Individual,Tasikmalaya,K20000,"Regression with ARIMA(1,0,1)(0,0,2)[12] errors",1
Outflow,ARIMA-Individual,Tasikmalaya,K10000,"ARIMA(3,1,1)(2,1,0)[12]",1 4 12 13 16 36 37 40
Outflow,ARIMAX-Individual,Tasikmalaya,K10000,"Regression with ARIMA(1,0,1)(2,0,0)[12] errors",1 12 13 24 25
Outflow,ARIMA-Individual,Tasikmalaya,K5000,"ARIMA(0,0,1)(1,0,2)[12] with non-zero mean",12
Outflow,ARIMAX-Individual,Tasikmalaya,K5000,"Regression with ARIMA(2,0,0)(1,0,2)[12] errors",1 2 12 13 14
Outflow,ARIMA-Individual,Tasikmalaya,K2000,"ARIMA(0,0,1)(2,0,1)[12] with non-zero mean",12 24
Outflow,ARIMAX-Individual,Tasikmalaya,K2000,"Regression with ARIMA(1,0,0)(2,0,1)[12] errors",1 12 13 24 25
Outflow,ARIMA-Individual,Tasikmalaya,K1000,"ARIMA(1,0,1)(0,0,2)[12] with non-zero mean",1
Outflow,ARIMAX-Individual,Tasikmalaya,K1000,"Regression with ARIMA(1,0,1)(2,0,0)[12] errors",1 12 13 24 25
Outflow,ARIMA-Individual,Yogyakarta,K100000,"ARIMA(0,0,0)(1,0,2)[12] with non-zero mean",12
Outflow,ARIMAX-Individual,Yogyakarta,K100000,"Regression with ARIMA(1,0,2)(1,0,0)[12] errors",1 12
Outflow,ARIMA-Individual,Yogyakarta,K50000,"ARIMA(1,0,2)(0,0,2)[12] with non-zero mean",1
Outflow,ARIMAX-Individual,Yogyakarta,K50000,"Regression with ARIMA(2,0,1)(2,0,1)[12] errors",1 2 12 13 14 24 25 26
Outflow,ARIMA-Individual,Yogyakarta,K20000,"ARIMA(1,0,1)(0,0,2)[12] with non-zero mean",1
Outflow,ARIMAX-Individual,Yogyakarta,K20000,"Regression with ARIMA(1,0,1)(1,0,0)[12] errors",1 12
Outflow,ARIMA-Individual,Yogyakarta,K10000,"ARIMA(1,0,1)(1,0,2)[12] with non-zero mean",1 12 13
Outflow,ARIMAX-Individual,Yogyakarta,K10000,"Regression with ARIMA(2,0,0)(1,0,1)[12] errors",1 2 12 13 14
Outflow,ARIMA-Individual,Yogyakarta,K5000,"ARIMA(0,0,0)(0,0,2)[12] with non-zero mean",12 24
Outflow,ARIMAX-Individual,Yogyakarta,K5000,"Regression with ARIMA(1,0,0)(2,0,0)[12] errors",1 12 13 24 25
Outflow,ARIMA-Individual,Yogyakarta,K2000,"ARIMA(0,0,1)(1,0,2)[12] with non-zero mean",12
